Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Home Ownership_outlier,Annual Income_outlier,Annual Income_nan,Tax Liens_outlier,Number of Open Accounts_outlier,Months since last delinquent_nan,Bankruptcies_outlier,Bankruptcies_nan,Purpose_nan,Years of Credit History_outlier,Maximum Open Credit_outlier,Current Loan Amount_outlier,Current Credit Balance_outlier,Monthly Debt_outlier,Credit Score_nan,Years in current job_nan,Years in current job_1 year,Years in current job_10+ years,Years in current job_2 years,Years in current job_3 years,Years in current job_4 years,Years in current job_5 years,Years in current job_6 years,Years in current job_7 years,Years in current job_8 years,Years in current job_9 years,Years in current job_< 1 year,Tax Liens_0.0,Tax Liens_1.0,Tax Liens_2.0,Bankruptcies_0.0,Bankruptcies_1.0,Bankruptcies_2.0,Purpose_business loan,Purpose_buy a car,Purpose_buy house,Purpose_debt consolidation,Purpose_educational expenses,Purpose_home improvements,Purpose_major purchase,Purpose_medical bills,Purpose_moving,Purpose_other,Purpose_small business,Purpose_take a trip,Purpose_vacation,Purpose_wedding,Term_Long Term,Term_Short Term,Home Mortgage,Own Home,Rent,ID,years_cat,num_cat,credit_cat,CreditScoreTLB1,CreditScoreTLB2,CreditScoreTLB3,CreditScoreTBNT,AnIMoD
Rent,891119.0,3 years,0.0,9.0,23.8,717420.0,0.0,42.0,0.0,debt consolidation,Short Term,332222.0,293683.0,11733.0,746.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,642,4,1,4,722.9917582417582,726.2093023255813,722.7259506135434,729.2101616628175,62526.91666666667
Rent,1395930.0,10+ years,0.0,5.0,12.4,172546.0,0.0,60.0,0.0,other,Short Term,75438.0,94335.0,8434.0,724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,643,2,0,4,723.6461538461539,720.96875,722.7259506135434,729.2101616628175,107893.5
Home Mortgage,1538392.0,7 years,1.0,11.0,29.0,512160.0,1.0,10.0,0.0,other,Short Term,167002.0,207005.0,24871.0,695.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,644,4,2,4,722.4205202312139,716.8412698412699,718.1428571428571,726.725,103328.33333333333
Own Home,573230.0,7 years,0.0,19.0,20.8,1218800.0,0.0,32.0,0.0,debt consolidation,Short Term,226688.0,451573.0,12515.0,742.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,645,4,3,4,723.1223021582733,724.25701839303,722.7259506135434,729.2101616628175,35254.166666666664
Home Mortgage,1168386.0,10+ years,0.0,8.0,35.0,984148.0,0.0,32.0,0.0,debt consolidation,Long Term,346962.0,694412.0,32657.0,731.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,646,4,1,4,723.6175548589341,724.25701839303,722.7259506135434,704.9185228604924,64708.5
Home Mortgage,2282736.0,6 years,0.0,17.0,11.4,478159.0,0.0,32.0,0.0,buy a car,Short Term,140976.0,883234.0,39568.0,744.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,647,2,3,4,722.2456896551724,724.25701839303,722.7259506135434,729.2101616628175,150660.0
Home Mortgage,1595867.0,6 years,0.0,17.0,32.7,478159.0,0.0,32.0,0.0,debt consolidation,Short Term,630960.0,750139.0,16225.0,748.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,648,4,3,4,722.2456896551724,724.25701839303,722.7259506135434,729.2101616628175,116763.91666666666
Home Mortgage,1168386.0,2 years,0.0,3.0,10.3,115148.0,0.0,32.0,0.0,debt consolidation,Short Term,110770.0,81434.0,7244.0,731.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,649,2,0,4,720.9052631578948,724.25701839303,722.7259506135434,729.2101616628175,90121.5
Rent,1168386.0,8 years,0.0,19.0,14.0,368896.0,0.0,67.0,0.0,other,Short Term,261910.0,197524.0,23836.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,650,2,3,4,723.1223021582733,726.5,722.7259506135434,729.2101616628175,73529.5
Rent,1168386.0,2 years,0.0,5.0,10.3,478159.0,0.0,16.0,0.0,other,Short Term,54098.0,209323.0,6878.0,697.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,651,2,0,4,723.6461538461539,723.9508196721312,722.7259506135434,729.2101616628175,90487.5
Home Mortgage,1717942.0,2 years,0.0,23.0,19.9,810656.0,0.0,32.0,0.0,debt consolidation,Long Term,324324.0,603497.0,35504.0,719.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,652,3,4,4,717.8135593220339,724.25701839303,722.7259506135434,704.9185228604924,107657.83333333334
Rent,1004207.0,5 years,0.0,14.0,12.4,831996.0,0.0,15.0,0.0,other,Short Term,447216.0,262276.0,17490.0,722.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,653,2,2,4,721.302380952381,716.5,722.7259506135434,729.2101616628175,66193.91666666667
Rent,1635843.0,9 years,0.0,19.0,15.0,499136.0,0.0,32.0,0.0,debt consolidation,Long Term,334268.0,255189.0,20721.0,722.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,654,2,3,4,723.1223021582733,724.25701839303,722.7259506135434,704.9185228604924,115599.25
Rent,1168386.0,7 years,0.0,4.0,21.7,175846.0,0.0,32.0,0.0,debt consolidation,Short Term,309573.0,110086.0,2472.0,667.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,655,4,0,3,720.0188679245283,724.25701839303,722.7259506135434,729.2101616628175,94893.5
Home Mortgage,1972504.0,< 1 year,0.0,14.0,16.3,478159.0,0.0,32.0,0.0,debt consolidation,Long Term,626956.0,1435602.0,16076.5,741.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,656,3,2,4,721.302380952381,724.25701839303,722.7259506135434,704.9185228604924,148298.83333333334
Home Mortgage,1294071.0,10+ years,0.0,7.0,21.8,368236.0,0.0,34.0,0.0,debt consolidation,Short Term,317306.0,205751.0,13803.0,740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,657,4,1,4,723.1353996737357,719.9272727272727,722.7259506135434,729.2101616628175,94036.25
Home Mortgage,2031708.0,1 year,0.0,10.0,16.7,478159.0,0.0,32.0,0.0,debt consolidation,Short Term,784168.0,714932.0,26920.0,709.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,658,3,1,4,720.5843293492696,724.25701839303,722.7259506135434,729.2101616628175,142389.0
Rent,1168386.0,10+ years,0.0,9.0,19.1,251856.0,1.0,67.0,1.0,debt consolidation,Long Term,433840.0,107464.0,15034.0,731.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,659,3,1,4,722.9917582417582,726.5,720.0370370370371,701.245508982036,82331.5
Home Mortgage,1902090.0,4 years,0.0,16.0,21.4,1132890.0,0.0,15.0,0.0,home improvements,Short Term,660726.0,630078.0,14377.0,744.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,660,4,3,4,723.1924528301887,716.5,722.7259506135434,729.2101616628175,144130.5
Rent,832694.0,3 years,0.0,3.0,16.5,239646.0,0.0,32.0,0.0,debt consolidation,Short Term,87142.0,198284.0,13046.0,733.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,661,3,0,4,720.9052631578948,724.25701839303,722.7259506135434,729.2101616628175,56345.16666666667
Rent,2129919.0,7 years,0.0,8.0,12.6,508882.0,0.0,32.0,0.0,debt consolidation,Short Term,313874.0,336642.0,24317.0,742.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,662,2,1,4,723.6175548589341,724.25701839303,722.7259506135434,729.2101616628175,153176.25
Rent,1168386.0,7 years,0.0,15.0,13.8,403744.0,0.0,32.0,0.0,business loan,Short Term,475002.0,161804.0,21439.0,731.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,663,2,2,4,721.6996805111821,724.25701839303,722.7259506135434,729.2101616628175,75926.5
Rent,1971459.0,10+ years,0.0,8.0,9.9,458656.0,0.0,32.0,0.0,debt consolidation,Short Term,652212.0,208753.0,25300.0,714.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,664,1,1,4,723.6175548589341,724.25701839303,722.7259506135434,729.2101616628175,138988.25
Home Mortgage,1168386.0,10+ years,0.0,4.0,16.5,329274.0,0.0,13.0,0.0,other,Short Term,329120.0,241452.0,29844.0,731.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,665,3,0,4,720.0188679245283,719.276923076923,722.7259506135434,729.2101616628175,67521.5
Home Mortgage,1168386.0,10+ years,0.0,12.0,12.6,1169938.0,0.0,6.0,0.0,debt consolidation,Short Term,265716.0,697186.0,26614.0,731.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,666,2,2,4,723.144128113879,721.15625,722.7259506135434,729.2101616628175,70751.5
Rent,1168386.0,10+ years,0.0,15.0,16.0,413820.0,0.0,32.0,0.0,other,Short Term,222794.0,302366.0,18962.0,731.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,667,3,2,4,721.6996805111821,724.25701839303,722.7259506135434,729.2101616628175,78403.5
Home Mortgage,1431992.0,1 year,0.0,15.0,22.0,508112.0,0.0,32.0,0.0,debt consolidation,Long Term,353716.0,276450.0,21002.0,718.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,668,4,2,4,721.6996805111821,724.25701839303,722.7259506135434,704.9185228604924,98330.66666666667
Rent,615220.0,6 years,0.0,7.0,12.4,245080.0,0.0,32.0,0.0,other,Short Term,172700.0,115140.0,5691.0,714.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,669,2,1,4,723.1353996737357,724.25701839303,722.7259506135434,729.2101616628175,45577.333333333336
Home Mortgage,1132704.0,1 year,0.0,5.0,19.7,242594.0,0.0,32.0,0.0,debt consolidation,Short Term,136620.0,200507.0,18878.0,706.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,670,3,0,4,723.6461538461539,724.25701839303,722.7259506135434,729.2101616628175,75514.0
Home Mortgage,772939.0,8 years,0.0,8.0,14.0,490710.0,0.0,32.0,0.0,home improvements,Short Term,215138.0,233092.0,12302.0,746.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,671,2,1,4,723.6175548589341,724.25701839303,722.7259506135434,729.2101616628175,52109.583333333336
Home Mortgage,1168386.0,10+ years,0.0,10.0,19.8,389466.0,1.0,46.0,1.0,debt consolidation,Long Term,631576.0,226043.0,6876.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,672,3,1,4,720.5843293492696,723.8478260869565,720.0370370370371,701.245508982036,90489.5
Rent,772236.0,1 year,0.0,14.0,13.0,469260.0,0.0,28.0,0.0,debt consolidation,Short Term,309573.0,157244.0,16539.0,747.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,673,2,2,4,721.302380952381,723.1111111111111,722.7259506135434,729.2101616628175,47814.0
Rent,1125066.0,10+ years,0.0,11.0,16.0,742962.0,0.0,32.0,0.0,debt consolidation,Short Term,260546.0,563350.0,25970.0,731.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,674,3,2,4,722.4205202312139,724.25701839303,722.7259506135434,729.2101616628175,67785.5
Home Mortgage,1318695.0,< 1 year,0.0,9.0,21.1,348700.0,0.0,31.0,0.0,debt consolidation,Short Term,671836.0,146965.0,18022.0,707.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,675,4,1,4,722.9917582417582,716.2352941176471,722.7259506135434,729.2101616628175,91869.25
Own Home,1168386.0,6 years,0.0,11.0,25.7,377454.0,0.0,32.0,0.0,debt consolidation,Short Term,242462.0,262086.0,15220.0,731.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,676,4,2,4,722.4205202312139,724.25701839303,722.7259506135434,729.2101616628175,82145.5
Home Mortgage,531943.0,10+ years,0.0,5.0,11.0,94600.0,0.0,32.0,0.0,debt consolidation,Long Term,221078.0,86431.0,6915.0,691.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,677,2,0,4,723.6461538461539,724.25701839303,722.7259506135434,704.9185228604924,37413.583333333336
Rent,1168386.0,10+ years,0.0,9.0,22.5,159808.0,2.0,24.0,2.0,other,Long Term,296516.0,28994.0,18306.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,678,4,1,4,722.9917582417582,720.9830508474577,711.8666666666667,687.2,79059.5
Rent,1702989.0,10+ years,0.0,17.0,16.5,585134.0,0.0,32.0,0.0,debt consolidation,Long Term,394372.0,440154.0,41156.0,692.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,679,3,3,4,722.2456896551724,724.25701839303,722.7259506135434,704.9185228604924,100759.75
Home Mortgage,1412745.0,10+ years,0.0,15.0,19.5,1595352.0,0.0,32.0,0.0,debt consolidation,Long Term,548548.0,730246.0,18366.0,659.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,680,3,2,3,721.6996805111821,724.25701839303,722.7259506135434,704.9185228604924,99362.75
Home Mortgage,1512077.0,6 years,0.0,10.0,17.7,1107304.0,0.0,27.0,0.0,debt consolidation,Short Term,179564.0,767923.0,25227.0,743.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,681,3,1,4,720.5843293492696,717.8478260869565,722.7259506135434,729.2101616628175,100779.41666666667
Rent,1168386.0,10+ years,0.0,10.0,20.9,369336.0,0.0,43.0,0.0,debt consolidation,Short Term,263780.0,221046.0,20970.0,731.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,682,4,1,4,720.5843293492696,720.0222222222222,722.7259506135434,729.2101616628175,76395.5
Rent,2100640.0,8 years,0.0,10.0,15.7,746614.0,0.0,11.0,0.0,debt consolidation,Short Term,247742.0,183122.0,21532.0,749.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,683,3,1,4,720.5843293492696,717.7254901960785,722.7259506135434,729.2101616628175,153521.33333333334
Home Mortgage,875102.0,2 years,0.0,6.0,15.4,259446.0,1.0,62.0,1.0,other,Short Term,309573.0,40774.0,9188.0,746.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,684,3,1,4,724.3789682539683,725.4782608695652,720.0370370370371,725.7162872154115,63737.16666666667
Rent,2817510.0,2 years,0.0,6.0,15.2,86988.0,0.0,32.0,0.0,home improvements,Short Term,178354.0,23826.0,5048.0,748.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,685,3,1,4,724.3789682539683,724.25701839303,722.7259506135434,729.2101616628175,229744.5
Rent,862866.0,< 1 year,0.0,14.0,9.5,904860.0,0.0,32.0,0.0,debt consolidation,Short Term,159852.0,242250.0,9060.0,723.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,686,1,2,4,721.302380952381,724.25701839303,722.7259506135434,729.2101616628175,62845.5
Home Mortgage,793212.0,10+ years,0.0,8.0,13.5,476784.0,0.0,32.0,0.0,debt consolidation,Short Term,43736.0,379639.0,21417.0,694.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,687,2,1,4,723.6175548589341,724.25701839303,722.7259506135434,729.2101616628175,44684.0
Rent,950665.0,< 1 year,0.0,15.0,15.1,1082796.0,0.0,32.0,0.0,debt consolidation,Short Term,309573.0,492822.0,22658.0,744.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,688,3,2,4,721.6996805111821,724.25701839303,722.7259506135434,729.2101616628175,56564.08333333333
Home Mortgage,1168386.0,10+ years,0.0,21.0,26.0,658922.0,1.0,32.0,1.0,debt consolidation,Short Term,177540.0,381273.0,22666.0,731.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,689,4,4,4,724.3589743589744,724.25701839303,720.0370370370371,725.7162872154115,74699.5
Home Mortgage,1977254.0,4 years,0.0,7.0,14.8,628430.0,0.0,32.0,0.0,debt consolidation,Short Term,309573.0,518301.0,43005.0,737.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,690,2,1,4,723.1353996737357,724.25701839303,722.7259506135434,729.2101616628175,121766.16666666666
Home Mortgage,921576.0,9 years,0.0,22.0,15.2,1745942.0,0.0,32.0,0.0,debt consolidation,Short Term,472406.0,481004.0,11059.0,740.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,691,3,4,4,723.9795918367347,724.25701839303,722.7259506135434,729.2101616628175,65739.0
Home Mortgage,1398134.0,10+ years,0.0,11.0,21.3,772574.0,0.0,21.0,0.0,debt consolidation,Long Term,719202.0,504412.0,36351.0,682.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,692,4,2,3,722.4205202312139,720.4255319148937,722.7259506135434,704.9185228604924,80160.16666666667
Home Mortgage,1168386.0,1 year,0.0,12.0,23.1,976074.0,0.0,9.0,0.0,debt consolidation,Short Term,757306.0,654987.0,36532.0,719.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,693,4,2,4,723.144128113879,727.4098360655738,722.7259506135434,729.2101616628175,60833.5
Rent,1042397.0,10+ years,0.0,12.0,17.0,424864.0,1.0,77.0,1.0,debt consolidation,Short Term,309573.0,207309.0,13986.0,729.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,694,3,2,4,723.144128113879,728.5714285714286,720.0370370370371,725.7162872154115,72880.41666666667
Home Mortgage,1330931.0,10+ years,0.0,8.0,27.8,504548.0,0.0,37.0,0.0,debt consolidation,Short Term,484330.0,243143.0,6976.0,651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,695,4,1,3,723.6175548589341,721.1372549019608,722.7259506135434,729.2101616628175,103934.91666666667
Home Mortgage,1303628.0,10+ years,0.0,15.0,19.1,747846.0,0.0,69.0,0.0,debt consolidation,Long Term,309573.0,426911.0,15426.0,699.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,696,3,2,4,721.6996805111821,715.3461538461538,722.7259506135434,704.9185228604924,93209.66666666667
Home Mortgage,658426.0,10+ years,0.0,11.0,20.8,206800.0,0.0,28.0,0.0,debt consolidation,Short Term,170456.0,141094.0,6913.0,728.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,697,4,2,4,722.4205202312139,723.1111111111111,722.7259506135434,729.2101616628175,47955.833333333336
Home Mortgage,2088328.0,10+ years,0.0,8.0,34.6,142912.0,1.0,11.0,1.0,debt consolidation,Short Term,219824.0,83676.0,9763.0,739.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,698,4,1,4,723.6175548589341,717.7254901960785,720.0370370370371,725.7162872154115,164264.33333333334
Home Mortgage,1168386.0,2 years,0.0,12.0,15.9,628650.0,1.0,32.0,0.0,debt consolidation,Short Term,315524.0,260053.0,21588.0,731.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,699,3,2,4,723.144128113879,724.25701839303,722.7259506135434,725.5441176470588,75777.5
